category,subcategory,form_number,form_name,pdf_url,url_version,efile_prefix_flag,fillable,field_count,page_count,sha256,local_path
miscellaneous,Miscellaneous Forms,ePC-1.S,Return of Certified Mail Service,https://probate.franklincountyohio.gov/files/assets/probatecourt/v/4/documents/forms/miscellaneous/return-of-certified-mail-service.pdf,4,True,True,3,1,b36923a5d02b9cb321e87ee46a8d74aa2d1cc79abe15eb14271f3b0875ae09dc,pdfs/miscellaneous/epc-1-s__return-of-certified-mail-service.pdf
miscellaneous,Miscellaneous Forms,ePC-61.0B,Proposed Order Affirming Joint Declaration,https://probate.franklincountyohio.gov/files/assets/probatecourt/v/4/documents/forms/miscellaneous/order-affirming-joint-declaration.pdf,4,True,True,6,1,3c6dea87c7ead4d37fcd7e481f04d244517bee54b22066d169aa93bca2bc747e,pdfs/miscellaneous/epc-61-0b__proposed-order-affirming-joint-declaration.pdf
miscellaneous,Miscellaneous Forms,ePC-C-20.7,Notice of Death of Fiduciary,https://probate.franklincountyohio.gov/files/assets/probatecourt/v/7/documents/forms/miscellaneous/notice-of-death-of-fiduciary.pdf,7,True,True,8,1,d2bfcf937f821e1334a5b370b941165b238c65fbe0fafacc6c9d1dc04c2c2349,pdfs/miscellaneous/epc-c-20-7__notice-of-death-of-fiduciary.pdf
miscellaneous,Miscellaneous Forms,ePC-C-20.7e,Proposed Entry Notice of Death of Fiduciary,https://probate.franklincountyohio.gov/files/assets/probatecourt/v/4/documents/forms/miscellaneous/entry-notice-of-death-of-fiduciary.pdf,4,True,True,8,1,e80636efdc08f624430219dc62660ff87e42036a289ac24ebef98caa1820c37d,pdfs/miscellaneous/epc-c-20-7e__proposed-entry-notice-of-death-of-fiduciary.pdf
miscellaneous,Miscellaneous Forms,ePC-E-1.Y,Application to Reopen Estate to Report Newly Discovered Assets,https://probate.franklincountyohio.gov/files/assets/probatecourt/v/4/documents/forms/miscellaneous/application-to-reopen-estate-to-report-newly-discovered-assets.pdf,4,True,True,22,1,67f261d1c36371a7cd00401146f4d49d673da768dac9fd1cef1dbd0c7463f9f5,pdfs/miscellaneous/epc-e-1-y__application-to-reopen-estate-to-report-newly-discovered-assets.pdf
miscellaneous,Miscellaneous Forms,ePC-EGT- 1.L,Proposed Entry Accepting Resignation of Fiduciary,https://probate.franklincountyohio.gov/files/assets/probatecourt/v/4/documents/forms/miscellaneous/entry-acceptance-of-resignation-of-fiduciary.pdf,4,True,True,14,1,98fd7ddc30896f9f2758138cc5b318ec5cc4efd12d6bd41d8c2a8d7e43c3fa11,pdfs/miscellaneous/epc-egt-1-l__proposed-entry-accepting-resignation-of-fiduciary.pdf
miscellaneous,Miscellaneous Forms,ePC-EGT-1.B,Application to Reduce Bond,https://probate.franklincountyohio.gov/files/assets/probatecourt/v/4/documents/forms/miscellaneous/application-to-reduce-bond.pdf,4,True,True,13,1,f57214a4ebdd39826addb11a416012294dd5a1772e5097e5469be0875e6c5371,pdfs/miscellaneous/epc-egt-1-b__application-to-reduce-bond.pdf
miscellaneous,Miscellaneous Forms,ePC-EGT-1.L,Request for Acceptance of Resignation of Fiduciary,https://probate.franklincountyohio.gov/files/assets/probatecourt/v/4/documents/forms/miscellaneous/request-for-acceptance-of-resignation-of-fiduciary.pdf,4,True,True,7,1,e4aefaf88af57eee4b8efb44d33cc2713c91cc7dce84c9dfeb12f2991aba57fe,pdfs/miscellaneous/epc-egt-1-l__request-for-acceptance-of-resignation-of-fiduciary.pdf
miscellaneous,Miscellaneous Forms,ePC-EGT-1.N,Proposed Entry,https://probate.franklincountyohio.gov/files/assets/probatecourt/v/4/documents/forms/miscellaneous/entry.pdf,4,True,True,7,1,0bbb2952d54808e58fb030e96683fac6a11e0a5230a0df242bd4f6d42b1a6408,pdfs/miscellaneous/epc-egt-1-n__proposed-entry.pdf
miscellaneous,Miscellaneous Forms,ePC-EGT-1.NM,Motion,https://probate.franklincountyohio.gov/files/assets/probatecourt/v/1/documents/forms/miscellaneous/motion.pdf,1,True,True,14,1,68ca84efe340974aba5876160a094695c7a96a7f3d794a360fe4aab09f403c59,pdfs/miscellaneous/epc-egt-1-nm__motion.pdf
miscellaneous,Miscellaneous Forms,ePC-EGT-1.U,Claim of Witness Fee,https://probate.franklincountyohio.gov/files/assets/probatecourt/v/4/documents/forms/miscellaneous/claim-of-witness-fee.pdf,4,True,True,13,1,9e928c456ccd6481a811d1eafe3b5094b4de30ea5a880219bc0209c8ca105c02,pdfs/miscellaneous/epc-egt-1-u__claim-of-witness-fee.pdf
miscellaneous,Miscellaneous Forms,ePC-EGT-1.Ue,Proposed Entry Claim of Witness Fee,https://probate.franklincountyohio.gov/files/assets/probatecourt/v/4/documents/forms/miscellaneous/entry-claim-of-witness-fee.pdf,4,True,True,4,1,b6f6b6c33349e9615a843b4c07362b8bdf1723512b029ae4a224666d9ce784a5,pdfs/miscellaneous/epc-egt-1-ue__proposed-entry-claim-of-witness-fee.pdf
miscellaneous,Miscellaneous Forms,ePC-EGT-2.A,Proposed Magistrate's Order Finding Pleading Non-Public Record,https://probate.franklincountyohio.gov/files/assets/probatecourt/v/4/documents/forms/miscellaneous/magistrate-s-order-finding-pleading-non-public-record.pdf,4,True,True,2,1,a02ae6eac44249041ef0b242837273cb7765dfbaecebf8b721e2fc499b6feb60,pdfs/miscellaneous/epc-egt-2-a__proposed-magistrate-s-order-finding-pleading-non-public-record.pdf
name-change,Name Change Forms,,Adult Name Change Packet,https://probate.franklincountyohio.gov/files/assets/probatecourt/v/5/documents/forms/name-change/adult-name-change-packet.pdf,5,False,True,34,5,b0415b5da5abc54559f9a5de3de08a84521e199e6d2f7270c81dc8263fc2d847,pdfs/name-change/__adult-name-change-packet.pdf
name-change,Name Change Forms,,Adult Conform Name Packet,https://probate.franklincountyohio.gov/files/assets/probatecourt/v/6/documents/forms/name-change/adult-conform-name-packet.pdf,6,False,True,89,8,7dad6e02d3c48940abce5161df2cdddc4c145befe706da71b217bc48dd1d561a,pdfs/name-change/__adult-conform-name-packet.pdf
name-change,Name Change Forms,,Minor Name Change Packet,https://probate.franklincountyohio.gov/files/assets/probatecourt/v/5/documents/forms/name-change/minor-name-change-packet.pdf,5,False,True,123,9,b7c95ce038bdb2ca8fac679ac1585fecd8768574462d563177b0e44d04fde8ab,pdfs/name-change/__minor-name-change-packet.pdf
name-change,Name Change Forms,,Minor Conform Name Packet,https://probate.franklincountyohio.gov/files/assets/probatecourt/v/5/documents/forms/name-change/minor-conform-name-packet.pdf,5,False,True,177,13,c33bb5bc686dd030ec8420bae89ae49c88eefbca8c2d9929d6c56b2b89681587,pdfs/name-change/__minor-conform-name-packet.pdf
name-change,Name Change Forms,,Confidential Name Change Packet,https://probate.franklincountyohio.gov/files/assets/probatecourt/v/4/documents/forms/name-change/confidential-name-change-packet.pdf,4,False,True,26,2,126fbf3479f36a21a4060a6e442d9b57d346505682174d928ab62b00c89acf4a,pdfs/name-change/__confidential-name-change-packet.pdf
name-change,Name Change Forms,PC-1.D,Application for Continuance of Hearing,https://probate.franklincountyohio.gov/files/assets/probatecourt/v/4/documents/forms/miscellaneous/application-for-continuance-of-hearing.pdf,4,False,True,17,1,45bc23f8241e600f7b07a559a9cfca548694fffdfe7cf3d7293935c493d1c0f0,pdfs/name-change/pc-1-d__application-for-continuance-of-hearing.pdf
name-change,Name Change Forms,PC-1.De,Proposed Entry Continuing Hearing,https://probate.franklincountyohio.gov/files/assets/probatecourt/v/1/documents/forms/miscellaneous/entry-continuing-hearing.pdf,1,False,True,14,1,9ac2fd289950d6fb3641dbf1ad4aa568c909dcde18e368012c6ad92e2b075341,pdfs/name-change/pc-1-de__proposed-entry-continuing-hearing.pdf
